country_name,country_code,year,value
1.FCKaiserslautern,AFG,63/64,48
1.FCKoeln,ALB,63/64,78
1.FCNuernberg,DZA,63/64,45
1.FCSaarbruecken,ASM,63/64,44
1.FSVMainz05,AND,63/64,0
1860Muenchen,AGO,63/64,66
1899Hoffenheim,ATG,63/64,0
AlemanniaAachen,ARG,63/64,0
ArminiaBielefeld,ARM,63/64,0
Bayer04Leverkusen,ABW,63/64,0
BayerUerdingen,AUS,63/64,0
BayernMuenchen,AUT,63/64,0
Blau-Wei§90Berlin,AZE,63/64,0
BorussiaDortmund,BHS,63/64,73
BorussiaMoenchengladbach,BHR,63/64,0
BorussiaNeunkirchen,BGD,63/64,0
Darmstadt98,BRB,63/64,0
DynamoDresden,BLR,63/64,0
EintrachtBraunschweig,BEL,63/64,36
EintrachtFrankfurt,BLZ,63/64,65
EnergieCottbus,BEN,63/64,0
FCAugsburg,BMU,63/64,0
FCHomburg,BTN,63/64,0
FCIngolstadt04,BOL,63/64,0
FCSt.Pauli,BIH,63/64,0
FortunaDuesseldorf,BWA,63/64,0
FortunaKoeln,BRA,63/64,0
HamburgerSV,VGB,63/64,69
Hannover96,BRN,63/64,0
HansaRostock,BGR,63/64,0
HerthaBSCBerlin,BFA,63/64,45
KarlsruherSC,BDI,63/64,42
KickersOffenbach,CPV,63/64,0
MeidericherSV,KHM,63/64,60
MSVDuisburg,CMR,63/64,0
Preu§enMuenster,CAN,63/64,34
RBLeipzig,CYM,63/64,0
Rot-Wei§Essen,CAF,63/64,0
Rot-Wei§Oberhausen,TCD,63/64,0
SCFreiburg,CHI,63/64,0
SCPaderborn07,CHL,63/64,31
Schalke04,CHN,63/64,51
SpVggGreutherFuerth,COL,63/64,0
SpVggUnterhaching,COM,63/64,0
SSVUlm,COD,63/64,0
StuttgarterKickers,COG,63/64,0
SVDarmstadt98,CRI,63/64,0
TasmaniaBerlin,CIV,63/64,0
TennisBorussiaBerlin,HRV,63/64,0
VfBLeipzig,CUB,63/64,0
VfBStuttgart,CUW,63/64,48
VfLBochum,CYP,63/64,0
VfLWolfsburg,CZE,63/64,0
WaldhofMannheim,DNK,63/64,0
Wattenscheid09,DJI,63/64,0
WerderBremen,DMA,63/64,53
1.FCKaiserslautern,AFG,64/65,89
1.FCKoeln,ALB,64/65,144
1.FCNuernberg,DZA,64/65,89
1.FCSaarbruecken,ASM,64/65,44
1.FSVMainz05,AND,64/65,0
1860Muenchen,AGO,64/65,136
1899Hoffenheim,ATG,64/65,0
AlemanniaAachen,ARG,64/65,0
ArminiaBielefeld,ARM,64/65,0
Bayer04Leverkusen,ABW,64/65,0
BayerUerdingen,AUS,64/65,0
BayernMuenchen,AUT,64/65,0
Blau-Wei§90Berlin,AZE,64/65,0
BorussiaDortmund,BHS,64/65,140
BorussiaMoenchengladbach,BHR,64/65,0
BorussiaNeunkirchen,BGD,64/65,44
Darmstadt98,BRB,64/65,0
DynamoDresden,BLR,64/65,0
EintrachtBraunschweig,BEL,64/65,78
